date,tag,asset,download_count
"2025-09-17","v2025.09.16","SoundShow-linux-x64.zip",3
"2025-09-17","v2025.09.16","SoundShow-macos-arm64.zip",5
"2025-09-17","v2025.09.16","SoundShow-macos-intel.zip",3
"2025-09-17","v2025.09.16","SoundShow-win-x64.zip",22
"2025-09-17","v2025.09.16","SoundShow-win-x86.zip",4
"2025-09-18","v2025.09.16","SoundShow-linux-x64.zip",5
"2025-09-18","v2025.09.16","SoundShow-macos-arm64.zip",12
"2025-09-18","v2025.09.16","SoundShow-macos-intel.zip",4
"2025-09-18","v2025.09.16","SoundShow-win-x64.zip",81
"2025-09-18","v2025.09.16","SoundShow-win-x86.zip",7
